grubhub_slug,grubhub_business_hours,ubereats_slug,ubereats_business_hours,is_out_range
stansburg_olivesorga_gh,8820,stansburgerbar_americanchoiceg_ue,10073,Out of Range
thequinoac_omegasalad_gh,8400,thequinoacraze_paninigrill9371_ue,1439,Out of Range
coffeecrem_mariotheba_gh,8400,coffeecremasnob_heavenlymarketi_ue,1439,Out of Range
gloriouspa_originalpi_gh,7860,gloriouspaninis_olivesorganicma_ue,1200,Out of Range
vegetarian_tlkitche_gh,5040,vegetarianvegan_marhabaindian_ue,720,Out of Range
theburgerc_tlkitche_gh,4200,theburgerco_gaters_ue,600,Out of Range
phillychee_goldstreet_gh,5880,phillycheeseste_saranbrothersll_ue,5220,Out of Range
indiasquickbite_desideli_gh,7560,indiasquickbite_desideli_ue,1230,Out of Range
saladkreat_mrpizzama_gh,7560,saladkreation_salsplacedeligr_ue,1439,Out of Range
toppaninis_paninigril_gh,10080,toppaninishop_seaportdeli_ue,1439,Out of Range
bosscatche_paninicafe_gh,5310,bosscatcheesest_villagecafegril_ue,630,Out of Range
hellagoodc_paninicafe_gh,6720,hellagoodchicke_villagecafegril_ue,630,Out of Range
justinsju_1stavegour_gh,10080,justinsjuicebar_goldstreetmarke_ue,1439,Out of Range
rjsphilly_1stavegour_gh,10080,rjsphillycheese_goldstreetmarke_ue,1439,Out of Range
sashassan_lincolngou_gh,8100,sashassan_frescopizz_ue,1140,Out of Range
lvtacobar_allnitepiz_gh,4140,lvtacobar_mrpizzaman_ue,780,Out of Range
thebagelsa_remedydine_gh,5640,thebagelsavage_1upbistro_ue,540,Out of Range
morningsea_paninigril_gh,7560,morningseafoodc_remedydiner_ue,10073,Out of Range
wonkassmo_canteendes_gh,6300,wonkassmoothieb_americanchoiceg_ue,10073,Out of Range
justinsju_1stavegour_gh,10080,justinsjuicebar_goldstreetmarke_ue,7560,Out of Range
breakfastb_plazamarke_gh,6090,breakfastburrit_crosstowndinerc_ue,6090,In Range
bainsburgerbar_frescopizzagril_gh,7995,bainsburg_frescopizz_ue,5550,Out of Range
crispyfala_americanch_gh,4500,crispyfala_greenolive_ue,690,Out of Range
xxxhotwing_paninicafe_gh,5310,xxxhotwings_villagecafegril_ue,4860,Out of Range
theburgerb_1upbistro_gh,5640,theburgerblade_farmerspizzagri_ue,780,Out of Range
fallonsfriedchi_classicpizza_gh,4920,fallonsfriedchi_classicpizza_ue,4680,Out of Range
paulospiz_villagecaf_gh,4830,paulospizza_sicilianpizzabr_ue,720,Out of Range
friedmunch_mariotheba_gh,10080,friedmunchiessh_heavenlymarketi_ue,1439,Out of Range
saladsnsou_paninigril_gh,7560,saladsnsoupssta_remedydiner_ue,10073,Out of Range
nicosital_sicilianpi_gh,5670,nicositalianris_mariothebaker_ue,5670,In Range
alisgyrol_remedydine_gh,5640,alisgyrolab_1upbistro_ue,5880,Out of Range
finelinede_tlkitche_gh,4620,finelinedessert_gaters_ue,5040,Out of Range
phillychee_citideli_gh,10080,phillycheeseste_hudsonmarketpla_ue,10073,Out of Range
thepaninip_remedydine_gh,8400,thepaniniprojec_seaportdeli_ue,10073,Out of Range
chuckscheeseste_frescopizzagril_gh,7995,chuckschee_frescopizz_ue,5550,Out of Range
chrisschi_hudsonmark_gh,6300,chrisschickente_michaelangelosp_ue,4950,Out of Range
thepastatw_villagecaf_gh,5040,thepastatwins_sicilianpizzabr_ue,720,Out of Range
thepizzaobsessi_daddysdelights_gh,5820,thepizzaobsessi_daddysdelights_ue,900,Out of Range
wonderland_1upbistro_gh,3060,wonderlandwraps_farmerspizzagri_ue,4800,Out of Range
salssmoot_sicilianpi_gh,5880,salssmoothiespo_plazamarketquee_ue,5033,Out of Range
sincityburgersp_daddysdelights_gh,5640,sincityburgersp_daddysdelights_ue,5400,Out of Range
thesaladsn_sicilianpi_gh,10080,thesaladsnob_sicilianpizzabr_ue,720,Out of Range
bartsburgerbar_chelseapapaya_gh,10080,bartsburgerbar_chelseapapaya_ue,10073,Out of Range
midtownque_chelseafin_gh,5640,midtownquesadil_saranbrothersll_ue,5220,Out of Range
thejuiceaf_paninicafe_gh,5460,thejuiceaffair_villagecafegril_ue,4860,Out of Range
chickenten_plazamarke_gh,6090,chickentendersb_crosstowndinerc_ue,6090,In Range
salvatore_sicilianpi_gh,5670,salvatoresparmi_mariothebaker_ue,809,Out of Range
thepastatw_bigfamousd_gh,6300,thepastatwins_modenapizzaicec_ue,900,Out of Range
samsscrum_seaportdel_gh,6390,samsscrumptious_albashasubsdear_ue,960,Out of Range
salssmoot_sicilianpi_gh,5880,salssmoothiespo_plazamarketquee_ue,1439,Out of Range
pardonmypa_headlinesd_gh,6480,pardonmypanini_headlinesdiner_ue,960,Out of Range
chickennfr_wesamdeli_gh,7980,chickennfries_citideli_ue,1439,Out of Range
frenchomel_mariotheba_gh,7560,frenchomeletteb_heavenlymarketi_ue,1439,Out of Range
phillychee_michaelang_gh,10080,phillycheeseste_heavenlymarketi_ue,1439,Out of Range
luigispas_sicilianpi_gh,5670,luigispastarist_mariothebaker_ue,810,Out of Range
jewelsbre_omegasalad_gh,8400,jewelsbreakfast_paninigrill9371_ue,1439,Out of Range
homerunpan_milanspiz_gh,7560,homerunpaninis_lemontreegourme_ue,1439,Out of Range
oliviassa_canteendes_gh,6300,oliviassandwich_americanchoiceg_ue,10073,Out of Range
sarahssal_marhabaind_gh,6300,sarahssaladbar_milanspizzeriap_ue,900,Out of Range
theshawarmaeats_frescopizzagril_gh,7995,theshawarmaeats_frescopizz_ue,1140,Out of Range
oldtownsandwich_chelseapapaya_gh,10080,oldtownsandwich_chelseapapaya_ue,10073,Out of Range
bosscatche_heavenlyma_gh,7560,bosscatcheesest_1stavegourmetde_ue,7140,Out of Range
fionaspan_paninicafe_gh,4740,fionaspancakeba_villagecafegril_ue,4860,Out of Range
burritoloversba_princedelimarke_gh,9090,burritoloversba_princedelimarke_ue,8460,Out of Range
fionasbreakfast_frescopizzagril_gh,7995,fionasbre_frescopizz_ue,5550,Out of Range
greenssala_theorigina_gh,6510,greenssaladgod_plazagourmetdel_ue,7140,Out of Range
veronicas_villagecaf_gh,10080,veronicasburrit_plazamarketquee_ue,10073,Out of Range
siponsmoot_wesamdeli_gh,8400,siponsmoothie_citideli_ue,1439,Out of Range
philadelphiache_princedelimarke_gh,10080,philadelphiache_princedelimarke_ue,8460,Out of Range
icecreambakeryl_lincolngourmetd_gh,10080,icecreambakeryl_lincolngourmetd_ue,10073,Out of Range
tanyasveg_marhabaind_gh,10080,tanyasvegetaria_lemontreegourme_ue,10073,Out of Range
littleitalyscal_classicpizza_gh,6480,littleitalyscal_classicpizza_ue,4680,Out of Range
theburgerb_americanch_gh,5460,theburgerblade_mrpizzaman_ue,720,Out of Range
kevinsche_paninigril_gh,10080,kevinscheeseste_seaportdeli_ue,10073,Out of Range
